Unnamed: 0,Author,Category,Gender,Quote,Quote_tok,SA,num,count,counts
105,Olympe de Gouges,philosophy,F,"Mujer, despierta, el llamamiento de la raz�n se hace o�r en todo el universo; reconoce tus derechos",Mujer despierta el llamamiento de la raz n se hace r en todo el universo reconoce tus derechos,0.0,,1,1
106,Mary Wollstonecraft,philosophy,F,"No deseo que las mujeres tengan poder sobre los hombres, sino sobre s� mismas",No deseo que las mujeres tengan poder sobre los hombres sino sobre mismas,-0.296,,1,1
107,Lou Andreas-Salom�,philosophy,F,"No puedo vivir conforme a ejemplos ni voy a representar jam�s un ejemplo para nadie, pero en cambio voy a darle forma a mi propia vida de acuerdo conmigo misma",No puedo vivir conforme ejemplos ni voy representar jam un ejemplo para nadie pero en cambio voy darle forma mi propia vida de acuerdo conmigo misma,-0.296,,1,1
108,Hannah Arendt,philosophy,F,No hay pensamientos peligrosos; el pensamiento es peligroso,No hay pensamientos peligrosos el pensamiento es peligroso,-0.296,,1,1
109,Simone de Beauvoir,philosophy,F,"No se nace mujer, se llega a serlo",No se nace mujer se llega serlo,-0.296,,1,1
110,Simone Weil,philosophy,F,Hay que realizar lo posible para alcanzar lo imposible,Hay que realizar lo posible para alcanzar lo imposible,0.0,,1,1
111,Emily Bront�,Literature,F,Terror made me crue,Terror made crue,-0.5267,,2,2
112,Margaret Atwood,Literature,F,We were the people who were not in the papers. We lived in the blank white spaces at the edges of print. It gave us more freedom. We lived in the gaps between the stories.,We people papers We lived blank white spaces edges print It gave us freedom We lived gaps stories,0.6369,,1,1
113,Charlotte Bront�,Literature,F,Life appears to me too short to be spent in nursing animosity or registering wrongs.,Life appears short spent nursing animosity registering wrongs,-0.4404,,2,2
114,Miguel de Cervantes Saavedra,Literature,M,"Finally, from so little sleeping and so much reading, his brain dried up and he went completely out of his mind",Finally little sleeping much reading brain dried went completely mind,0.0,,1,1
115,�Zora Neale Hurston,Literature,F,"She had waited all her life for something, and it had killed her when it found her.",She waited life something killed found,-0.6705,,1,1
116,Mary Shelley,Literature,F,Nothing is so painful to the human mind as a great and sudden change.,Nothing painful human mind great sudden change,0.296,,2,2
117,Patricia Highsmith,Literature,F,Perhaps it was freedom itself that choked her.,Perhaps freedom choked,0.2732,,1,1
118,Sylvia Plath,Literature,F,"I took a deep breath and listened to the old brag of my heart: I am, I am, I am",I took deep breath listened old brag heart I I I,0.0,,1,1
119,Margery Williams,Literature,F,"Generally, by the time you are Real, most of your hair has been loved off, and your eyes drop out and you get loose in the joints and very shabby. But these things don�t matter at all, because once you are Real you can�t be ugly, except to people who don�t understand.",Generally time Real hair loved eyes drop get loose joints shabby But things matter Real ugly except people understand,-0.4019,,1,1
120,Louisa May Alcott,Literature,F,"I am not afraid of storms, for I am learning how to sail my ship",I afraid storms I learning sail ship,0.0,,1,1
121,Daphne du Maurier,Literature,F,Last night I dreamt I went to Manderley again.,Last night I dreamt I went Manderley,0.0,,1,1
122,Jane Austen,Literature,F,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife",It truth universally acknowledged single man possession good fortune must want wife,0.6705,,4,4
123,�Margaret Mitchel,Literature,F,"Tomorrow I�ll think of some way to get him back. After all, tomorrow is another day",Tomorrow I think way get back After tomorrow another day,0.0,,1,1
124,�Jane Austen,Literature,F,"You pierce my soul. I am half agony. Half hope. Tell me not that I am too late, that such precious feelings are gone for ever",You pierce soul I half agony Half hope Tell I late precious feelings gone ever,0.5859,,2,2
125,�Donna Tartt,Literature,F,"I had the epiphany that laughter was light, and light was laughter, and that this was the secret of the universe",I epiphany laughter light light laughter secret universe,0.7506,,1,1
126,�Willa Cather,Literature,F,"There are some things you learn best in calm, and some in storm.",There things learn best calm storm,0.7579,,1,1
127,�Betty Smith,Literature,F,"From that time on, the world was hers for the reading. She would never be lonely again, never miss the lack of intimate friends. Books became her friends and there was one for every mood",From time world reading She would never lonely never miss lack intimate friends Books became friends one every mood,0.8378,,1,1
128,Nicole Krauss,Literature,F,"Once upon a time there was a boy who loved a girl, and her laughter was a question he wanted to spend his whole life answering.",Once upon time boy loved girl laughter question wanted spend whole life answering,0.7964,,1,1
129,�Kate Chopin,Literature,F,"The voice of the sea is seductive, never ceasing, whispering, clamoring, murmuring, inviting the soul to wander in abysses of solitude",The voice sea seductive never ceasing whispering clamoring murmuring inviting soul wander abysses solitude,0.3182,,1,1
130,�Jane Austen,Literature,F,"I wish, as well as everybody else, to be perfectly happy; but, like everybody else, it must be in my own way",I wish well everybody else perfectly happy like everybody else must way,0.9349,,2,2
131,�Marilynne Robinson,Literature,F,Love is holy because it is like grace � the worthiness of its object is never really what matters.,Love holy like grace worthiness object never really matters,0.8485,,1,1
132,Edith Wharton,Literature,F,Each time you happen to me all over again.,Each time happen,0.0,,3,3
133,Angie Thomas,Literature,F,Brave doesn�t mean you�re not scared. It means you go on even though you�re scared,Brave mean scared It means go even though scared,-0.34,,1,1
134,�Chimamanda Ngozi Adichie,Literature,F,"How easy it was to lie to strangers, to create with strangers the versions of our lives we imagined",How easy lie strangers create strangers versions lives imagined,0.6124,,1,1
135,Madeleine L�Engle,Literature,F,"Life, with its rules, its obligations, and its freedoms, is like a sonnet: You�re given the form, but you have to write the sonnet yourself.",Life rules obligations freedoms like sonnet You given form write sonnet,0.5719,,1,1
136,Alice Walker,Literature,F,"Time moves slowly, but passes quickly",Time moves slowly passes quickly,0.0,,1,1
137,Amy Tan,Literature,F,Then you must teach my daughter this same lesson. How to lose your innocence but not your hope. How to laugh forever,Then must teach daughter lesson How lose innocence hope How laugh forever,0.7506,,1,1
138,�Suzanne Collins,Literature,F,And may the odds be ever in your favor.,And may odds ever favor,0.4019,,1,1
139,Leo Tolstoy,literature,M,"In his Petersburg world, all people were divided into two completely opposite sorts. One was the inferior sort: the banal, stupid and, above all, ridiculous people who believed that one husband should live with one wife, whom he has married in a church, that a girl should be innocent, a woman modest, a man manly, temperate and firm, that one should raise children, earn one�s bread, pay one�s debts, and other such stupidities. This was an old-fashioned and ridiculous sort of people. But there was another sort of people, the real ones, to which they all belonged, and for whom one had, above all, to be elegant, handsome, magnanimous, bold, gay, to give oneself to every passion without blushing and laugh at everything else.",In Petersburg world people divided two completely opposite sorts One inferior sort banal stupid ridiculous people believed one husband live one wife married church girl innocent woman modest man manly temperate firm one raise children earn one bread pay one debts stupidities This old fashioned ridiculous sort people But another sort people real ones belonged one elegant handsome magnanimous bold gay give oneself every passion without blushing laugh everything else,-0.4809,,1,1
140,D. H. Lawrence,literature,M,I prefer unlucky things. Luck is vulgar. Who wants what luck would bring? I don�t.,I prefer unlucky things Luck vulgar Who wants luck would bring I,0.7184,,2,2
141,Gustave Flaubert,literature,M,"Human speech is like a cracked kettle on which we tap crude rhythms for bears to dance to, while we long to make music that will melt the stars.",Human speech like cracked kettle tap crude rhythms bears dance long make music melt stars,-0.296,,1,1
142,William Golding,literature,M,"They looked at each other, baffled, in love and hate.",They looked baffled love hate,0.128,,1,1
143,Ernest Hemingway,literature,M,"I never liked to hunt, you know. There was always the danger of having a horse fall on you.",I never liked hunt know There always danger horse fall,-0.6939,,1,1
144,Lewis Carroll,literature,M,"�Begin at the beginning,� the King said gravely, �and go on till you come to the end: then stop.�",Begin beginning King said gravely go till come end stop,-0.5719,,1,1
145,Jane Austen,literature,F,I do suspect that he is not really necessary to my happiness.,I suspect really necessary happiness,0.3976,,4,4
146,Joseph Conrad,literature,M,"You can�t breathe dead hippo waking, sleeping, and eating, and at the same time keep your precarious grip on existence.",You breathe dead hippo waking sleeping eating time keep precarious grip existence,-0.6486,,1,1
147,Sophocles,literature,M,"Time, which sees all things, has found you out.",Time sees things found,0.0,,1,1
148,Kate Chopin,literature,F,"They were women who idolized their children, worshiped their husbands, and esteemed it a holy privilege to efface themselves as individuals and grow wings as ministering angels.",They women idolized children worshiped husbands esteemed holy privilege efface individuals grow wings ministering angels,0.8316,,1,1
149,J. D. Salinger,literature,M,"I don�t exactly know what I mean by that, but I mean it.",I exactly know I mean I mean,0.0,,1,1
150,George Orwell,literature,M,"It was curious to think that the sky was the same for everybody, in Eurasia or Eastasia as well as here. And the people under the sky were also very much the same�everywhere, all over the world, hundreds or thousands of millions of people just like this, people ignorant of one another�s existence, held apart by walls of hatred and lies, and yet almost exactly the same�people who had never learned to think but who were storing up in their hearts and bellies and muscles the power that would one day overturn the world.",It curious think sky everybody Eurasia Eastasia well And people sky also much everywhere world hundreds thousands millions people like people ignorant one another existence held apart walls hatred lies yet almost exactly people never learned think storing hearts bellies muscles power would one day overturn world,-0.4939,,1,1
151,John Steinbeck,literature,M,Ever�body�s askin� that. �What we comin� to?� Seems to me we don�t never come to nothin�. Always on the way.,Ever body askin What comin Seems never come nothin Always way,0.0,,1,1
152,Kenneth Grahame,literature,M,"The Mole was a good listener, and Toad, with no one to check his statements or to criticize in an unfriendly spirit, rather let himself go. Indeed, much that he related belonged more properly to the category of what-might-have-happened-had-I-only-thought-of-it-in-time-instead-of-ten-minutes-afterwards.",The Mole good listener Toad one check statements criticize unfriendly spirit rather let go Indeed much related belonged properly category might happened I thought time instead ten minutes afterwards,-0.128,,1,1
153,J. R. R. Tolkien,literature,M,"It�s a dangerous business, Frodo, going out of your door.",It dangerous business Frodo going door,-0.4767,,1,1
154,Kurt Vonnegut,literature,M,"Like so many Americans, she was trying to construct a life that made sense from things she found in gift shops.",Like many Americans trying construct life made sense things found gift shops,0.6597,,2,2
155,Mary Shelley,literature,F,"Beware; for I am fearless, and therefore powerful.",Beware I fearless therefore powerful,0.6908,,2,2
156,Toni Morrison,literature,M,"And they beat. The women for having known them and no more, no more; the children for having been them but never again. They killed a boss so often and so completely they had to bring him back to life to pulp him one more time. Tasting hot mealcake among pine trees, they beat it away. Singing love songs to Mr. Death, they smashed his head. More than the rest, they killed the flirt whom folks called Life for leading them on.",And beat The women known children never They killed boss often completely bring back life pulp one time Tasting hot mealcake among pine trees beat away Singing love songs Mr Death smashed head More rest killed flirt folks called Life leading,0.8166,,1,1
157,Dante Alighieri,literature,M,I saw within Its depth how It conceives,I saw within Its depth It conceives,0.0,,2,2
158,Virginia Woolf,literature,F,All things in a single volume bound by Love,All things single volume bound Love,0.6369,,2,2
159,Albert Camus,literature,M,of which the universe is the scattered leaves.,universe scattered leaves,0.0,,1,1
160,James Joyce,literature,M,"And again she felt alone in the presence of her old antagonist, life.",And felt alone presence old antagonist life,-0.5994,,1,1
161,Jane Austen,literature,F,It was like knocking four quick times on the door of unhappiness.,It like knocking four quick times door unhappiness,-0.2263,,4,4
162,Charlotte Bront�,literature,F,"A certain pride, a certain awe, withheld him from offering to God even one prayer at night, though he knew it was in God�s power to take away his life while he slept and hurl his soul hellward ere he could beg for mercy.",A certain pride certain awe withheld offering God even one prayer night though knew God power take away life slept hurl soul hellward ere could beg mercy,0.8834,,2,2
163,Franz Kafka,literature,M,"Laugh as much as you choose, but you will not laugh me out of my opinion.",Laugh much choose laugh opinion,0.802,,1,1
164,Virginia Woolf,literature,F,"I ask you to pass through life at my side�to be my second self, and best earthly companion.",I ask pass life side second self best earthly companion,0.6369,,2,2
165,Geoffrey Chaucer,literature,M,It is an essential part of the justice dispensed here that you should be condemned not only in innocence but also in ignorance.,It essential part justice dispensed condemned innocence also ignorance,0.1531,,2,2
166,Jack London,literature,M,The world wavered and quivered and threatened to burst into flames.,The world wavered quivered threatened burst flames,-0.4588,,1,1
167,Mark Twain,literature,M,"Who then may trust the dice, at Fortune�s throw?",Who may trust dice Fortune throw,0.5106,,2,2
168,Zora Neale Hurston,literature,F,"When, on the still cold nights, he pointed his nose at a star and howled long and wolf-like, it was his ancestors, dead and dust, pointing nose at star and howling down through the centuries and through him. And his cadences were their cadences, the cadences which voiced their woe and what to them was the meaning of the stillness, and the cold, and dark.",When still cold nights pointed nose star howled long wolf like ancestors dead dust pointing nose star howling centuries And cadences cadences cadences voiced woe meaning stillness cold dark,-0.6808,,1,1
169,F. Scott Fitzgerald,literature,M,"I was a-trembling, because I�d got to decide, forever, betwixt two things, and I knowed it.",I trembling I got decide forever betwixt two things I knowed,-0.3612,,1,1
170,Pierre Choderlos de Laclos,literature,M,There are years that ask questions and years that answer.,There years ask questions years answer,0.0,,1,1
171,Charles Dickens,literature,M,"And so with the sunshine and the great bursts of leaves growing on the trees, just as things grow in fast movies, I had that familiar conviction that life was beginning over again with the summer.",And sunshine great bursts leaves growing trees things grow fast movies I familiar conviction life beginning summer,0.8402,,1,1
172,William Shakespeare,literature,M,I assure you that the world is not so amusing as we imagined.,I assure world amusing imagined,0.6124,,1,1
173,Aldous Huxley,literature,M,Ask no questions and you�ll be told no lies.,Ask questions told lies,-0.4215,,1,1
174,Nathaniel Hawthorne,literature,M,I will wear him,I wear,0.0,,1,1
175,George Eliot,literature,M,"In my heart�s core, ay, in my heart of heart.",In heart core ay heart heart,0.0,,2,2
176,Emily Bront�,literature,F,"Lying in bed, he would think of Heaven and London.",Lying bed would think Heaven London,-0.0258,,2,2
177,William Faulkner,literature,M,"It is a curious subject of observation and inquiry, whether hatred and love be not the same thing at the bottom.",It curious subject observation inquiry whether hatred love thing bottom,0.3182,,1,1
178,Edith Wharton,literature,F,"For years after Lydgate remembered the impression produced in him by this involuntary appeal�this cry from soul to soul, without other consciousness than their moving with kindred natures in the same embroiled medium, the same troublous fitfully-illuminated life.",For years Lydgate remembered impression produced involuntary appeal cry soul soul without consciousness moving kindred natures embroiled medium troublous fitfully illuminated life,-0.6486,,3,3
179,Virgil,literature,M,"Whatever souls are made of, his and mine are the same.",Whatever souls made mine,0.0,,2,2
180,William Makepeace Thackeray,literature,M,"The air brightened, the running shadow patches were now the obverse, and it seemed to him that the fact that the day was clearing was another cunning stroke on the part of the foe, the fresh battle toward which he was carrying ancient wounds.",The air brightened running shadow patches obverse seemed fact day clearing another cunning stroke part foe fresh battle toward carrying ancient wounds,-0.0258,,1,1
181,Doris Lessing,literature,F,"�Do you know�I hardly remembered you?�
�Hardly remembered me?�
�I mean: how shall I explain? I�it�s always so.�Each time you happen to me all over again.�",Do know I hardly remembered Hardly remembered I mean shall I explain I always Each time happen,0.0,,2,2
182,Ralph Ellison,literature,M,In his deepest heart there surge tremendous shame and madness mixed with sorrow and love whipped on by frenzy and a courage aware of its own worth.,In deepest heart surge tremendous shame madness mixed sorrow love whipped frenzy courage aware worth,-0.34,,1,1
183,Harper Lee,literature,M,"So, with their usual sense of justice, ladies argue that because a woman is handsome, therefore she is a fool. O ladies, ladies! there are some of you who are neither handsome nor wise.",So usual sense justice ladies argue woman handsome therefore fool O ladies ladies neither handsome wise,0.4956,,1,1
184,Gabriel Garc�a M�rquez,literature,M,"I was filled with such a dangerous delicious intoxication that I could have walked straight off the steps into the air, climbing on the strength of my own drunkenness into the stars. And the intoxication, as I knew even then, was the recklessness of infinite possibility, of danger, the secret ugly frightening pulse of war itself, of the death that we all wanted, for each other and for ourselves.",I filled dangerous delicious intoxication I could walked straight steps air climbing strength drunkenness stars And intoxication I knew even recklessness infinite possibility danger secret ugly frightening pulse war death wanted,-0.9186,,2,2
185,Virgil,literature,M,"As I made my way home, I thought Jem and I would get grown but there wasn�t much else for us to learn, except possibly algebra.",As I made way home I thought Jem I would get grown much else us learn except possibly algebra,0.0,,2,2
186,Jane Austen,literature,F,Both of them remained floating in an empty universe where the only everyday and eternal reality was love.,Both remained floating empty universe everyday eternal reality love,0.5267,,4,4
187,Kurt Vonnegut,literature,M,"For now the seventh summer carries you,",For seventh summer carries,0.0,,2,2
188,D. H. Lawrence,literature,M,"A wanderer, across the lands and waters.",A wanderer across lands waters,0.0,,2,2
189,Edith Wharton,literature,F,You are never to stir out of doors till you can prove that you have spent ten minutes of every day in a rational manner.,You never stir doors till prove spent ten minutes every day rational manner,0.0,,3,3
190,Doris Lessing,literature,F,"I have this disease late at night sometimes, involving alcohol and the telephone.",I disease late night sometimes involving alcohol telephone,0.0,,2,2
191,Jack Kerouac,literature,M,"Do come back and draw the ferrets, they are the most lovely noble darlings in the world.",Do come back draw ferrets lovely noble darlings world,0.875,,1,1
192,Margaret Mitchell,literature,F,"Once more it was borne in on him that marriage was not the safe anchorage he had been taught to think, but an uncharted voyage on the seas.",Once borne marriage safe anchorage taught think uncharted voyage seas,0.4404,,1,1
193,Gabriel Garc�a M�rquez,literature,M,Time is the River on which the leaves of our thoughts are carried into oblivion.,Time River leaves thoughts carried oblivion,0.0,,2,2
194,Mark Twain,literature,M,"I told Terry I was leaving. She had been thinking about it all night and was resigned to it. Emotionlessly she kissed me in the vineyard and walked off down the row. We turned at a dozen paces, for love is a duel, and looked at each other for the last time.",I told Terry I leaving She thinking night resigned Emotionlessly kissed vineyard walked row We turned dozen paces love duel looked last time,0.7003,,2,2
195,George Eliot,literature,M,"Babies, babies, babies. Why did God make so many babies? But no, God didn�t make them. Stupid people made them.",Babies babies babies Why God make many babies But God make Stupid people made,-0.0516,,2,2
196,Geoffrey Chaucer,literature,M,"Her heart of compressed ash, which had resisted the most telling blows of daily reality without strain, fell apart with the first waves of nostalgia.",Her heart compressed ash resisted telling blows daily reality without strain fell apart first waves nostalgia,0.0382,,2,2
197,Dante Alighieri,literature,M,"Jim said that bees won�t sting idiots, but I didn�t believe that, because I tried them lots of times myself and they wouldn�t sting me.",Jim said bees sting idiots I believe I tried lots times sting,0.0,,2,2
198,Alberto,,M,que duras son las APIs,que duras son las APIs,0.0,,1,1
199,Margarita Salas,,F,De joven era discriminada por ser mujer; hoy por ser mayor,De joven era discriminada por ser mujer hoy por ser mayor,0.0,,5,5
